Name,Edition (code),Price
"Sengir Vampire","(3ed)","$2.82"
"Sengir, the Dark Baron","(cmr)","$0.59"
"Sensor Splicer","(nph)","$0.34"
"Sentinel","(chr)","$0.56"
"Sentinel Sliver","(m14)","$1.63"
"Sentinel Spider","(m13)","$0.28"
"Sentinel of the Eternal Watch","(ori)","$0.37"
"Sentinel of the Pearl Trident","(dom)","$0.37"
"Sentinels of Glen Elendra","(lrw)","$0.36"
"Sentry Oak","(lrw)","$0.37"
"Sentry of the Underworld","(ths)","$0.37"
"Separatist Voidmage","(ori)","$0.30"
"Sephara, Sky's Blade","(m20)","$4.45"
"Septic Rats","(mbs)","$0.84"
"Sepulcher Ghoul","(afr)","$0.22"
"Seraph","(ice)","$0.83"
"Seraph of Dawn","(cmr)","$0.30"
"Seraph of the Masses","(m15)","$0.37"
"Seraph of the Scales","(rna)","$3.32"
"Seraph of the Suns","(akh)","$0.37"
"Seraph of the Sword","(m14)","$1.10"
"Serendib Efreet","(3ed)","$11.10"
"Serendib Sorcerer","(c17)","$0.53"
"Serene Master","(c13)","$0.82"
"Serene Steward","(bfz)","$0.37"
"Sergeant-at-Arms","(dom)","$0.28"
"Serpent Warrior","(sth)","$0.33"
"Serpent of Yawning Depths","(thb)","$24.05"
"Serpent of the Endless Sea","(m10)","$0.36"
"Serpentine Basilisk","(ons)","$0.37"
"Serpentine Kavu","(inv)","$0.36"
"Serra Advocate","(dvd)","$0.47"
"Serra Angel","(m14)","$0.37"
"Serra Ascendant","(m11)","$40.03"
"Serra Avatar","(c13)","$1.22"
"Serra Avenger","(tsp)","$2.21"
"Serra Disciple","(dom)","$0.28"
"Serra Inquisitors","(hml)","$0.37"
"Serra Paladin","(hml)","$0.36"
"Serra Sphinx","(2xm)","$0.37"
"Serra Zealot","(usg)","$0.34"
"Serra's Emissary","(mh2)","$7.41"
"Serra's Guardian","(m19)","$0.74"
"Serrated Biskelion","(ddf)","$0.53"
"Serrated Scorpion","(iko)","$0.37"
"Serum Raker","(mbs)","$0.33"
"Servant of Nefarox","(m13)","$0.28"
"Servant of Tymaret","(bng)","$0.30"
"Servant of Volrath","(tmp)","$0.30"
"Servant of the Conduit","(kld)","$0.40"
"Servant of the Scale","(dtk)","$0.37"
"Seshiro the Anointed","(chk)","$18.54"
"Setessan Battle Priest","(ths)","$0.30"
"Setessan Champion","(thb)","$2.85"
"Setessan Griffin","(ths)","$0.30"
"Setessan Oathsworn","(bng)","$0.31"
"Setessan Petitioner","(thb)","$0.37"
"Setessan Skirmisher","(thb)","$0.24"
"Setessan Starbreaker","(bng)","$0.31"
"Sethron, Hurloon General","(jmp)","$0.87"
"Seton's Scout","(tor)","$0.40"
"Seton, Krosan Protector","(ody)","$2.67"
"Seven Dwarves","(eld)","$0.79"
"Severed Legion","(10e)","$0.53"
"Sevinne, the Chronoclasm","(c19)","$0.86"
"Sewer Nemesis","(cm2)","$1.84"
"Sewer Rats","(mir)","$0.36"
"Sewer Shambler","(rtr)","$0.28"
"Sewerdreg","(rav)","$0.30"
"Sewn-Eye Drake","(arb)","$0.34"
"Shabraz, the Skyshark","(c20)","$1.53"
"Shacklegeist","(m21)","$0.58"
"Shade of Trokair","(plc)","$0.33"
"Shadewing Laureate","(stx)","$0.37"
"Shadow Alley Denizen","(gtc)","$0.37"
"Shadow Glider","(bfz)","$0.28"
"Shadow Guildmage","(tsb)","$0.37"
"Shadow Rider","(wth)","$0.30"
"Shadow Stinger","(znr)","$0.37"
"Shadowborn Apostle","(m14)","$8.14"
"Shadowborn Demon","(m14)","$1.63"
"Shadowcloak Vampire","(m15)","$0.34"
"Shadowmage Infiltrator","(a25)","$0.55"
"Shadowstorm Vizier","(akh)","$0.37"
"Shadrix Silverquill","(stx)","$6.06"
"Shah of Naar Isle","(fut)","$0.65"
"Shaile, Dean of Radiance // Embrose, Dean of Shadow","(stx)","$0.71"
"Shalai, Voice of Plenty","(dom)","$7.74"
"Shaleskin Bruiser","(ons)","$0.37"
"Shaleskin Plower","(lgn)","$0.34"
"Shaman en-Kor","(sth)","$1.48"
"Shaman of Forgotten Ways","(dtk)","$10.61"
"Shaman of Spring","(m15)","$0.30"
"Shaman of the Great Hunt","(frf)","$1.41"
"Shaman of the Pack","(ema)","$0.71"
"Shambleshark","(gtc)","$0.30"
"Shambling Attendants","(ktk)","$0.33"
"Shambling Ghast","(afr)","$0.82"
"Shambling Ghoul","(bbd)","$0.36"
"Shambling Goblin","(dtk)","$0.33"
"Shambling Remains","(ddk)","$0.37"
"Shambling Shell","(ddj)","$0.41"
"Shambling Strider","(ice)","$0.34"
"Shambling Suit","(eld)","$0.37"
"Shambling Swarm","(tor)","$0.79"
"Shanna, Sisay's Legacy","(dom)","$0.46"
"Shanodin Dryads","(6ed)","$0.31"
"Shape Stealer","(sok)","$0.52"
"Shaper Apprentice","(xln)","$0.30"
"Shaper Guildmage","(mir)","$0.33"
"Shaper Parasite","(plc)","$0.37"
"Shapers of Nature","(xln)","$0.37"
"Shapesharer","(lrw)","$16.94"
"Shapeshifter","(5ed)","$0.37"
"Shard Phoenix","(sth)","$0.74"
"Sharding Sphinx","(c13)","$0.74"
"Shardless Agent","(mh2)","$1.08"
"Sharktocrab","(rna)","$0.37"
"Sharuum the Hegemon","(c16)","$1.04"
"Shattered Angel","(nph)","$1.48"
"Shatterskull Charger","(znr)","$0.47"
"Shatterskull Giant","(zen)","$0.30"
"Shatterskull Minotaur","(znr)","$0.37"
"Shatterskull Recruit","(bfz)","$0.28"
"Shauku's Minion","(mir)","$0.37"
"Shauku, Endbringer","(mir)","$7.41"
"Shefet Monitor","(akh)","$0.40"
"Shelkin Brownie","(leg)","$1.39"
"Shell Skulkin","(eve)","$0.44"
"Sheltering Ancient","(csp)","$1.26"
"Sheoldred, Whispering One","(jmp)","$18.82"
"Shepherd of Heroes","(znr)","$0.22"
"Shepherd of the Cosmos","(khm)","$0.37"
"Shepherd of the Lost","(zen)","$0.37"
"Shessra, Death's Whisper","(afr)","$0.34"
"Orochi Eggwatcher // Shidako, Broodmistress","(chk)","$0.43"
"Shield Bearer","(5ed)","$0.34"
"Shield Dancer","(pcy)","$0.37"
"Shield Mare","(m19)","$0.37"
"Shield Mate","(exo)","$0.34"
"Shield Sphere","(all)","$8.89"
"Shielded Aether Thief","(aer)","$0.37"
"Shieldhide Dragon","(dtk)","$0.39"
"Shieldmage Advocate","(jud)","$0.34"
"Shieldmage Elder","(ons)","$0.37"
"Shifting Ceratops","(m20)","$0.74"
"Shifting Sliver","(lgn)","$6.30"
"Shifting Wall","(sth)","$1.41"
"Shimatsu the Bloodcloaked","(chk)","$0.64"
"Shimian Night Stalker","(chr)","$0.36"
"Shimian Specter","(m13)","$0.52"
"Shimmer Dragon","(eld)","$8.49"
"Shimmer Myr","(c16)","$1.48"
"Shimmering Barrier","(usg)","$0.50"
"Shimmering Efreet","(vis)","$0.41"
"Shimmering Glasskite","(bok)","$0.36"
"Shimmerscale Drake","(akh)","$0.28"
"Shimmerwing Chimera","(thb)","$0.37"
"Shinechaser","(eld)","$0.37"
"Shinen of Fear's Chill","(sok)","$0.33"
"Shinen of Flight's Wings","(sok)","$0.36"
"Shinen of Fury's Fire","(sok)","$0.33"
"Shinen of Life's Roar","(arc)","$0.49"
"Shinen of Stars' Light","(sok)","$0.34"
"Shinewend","(mor)","$0.37"
"Shining Aerosaur","(xln)","$0.27"
"Shinka Gatekeeper","(bok)","$0.33"
"Shipbreaker Kraken","(ths)","$0.59"
"Shipwreck Dowser","(m21)","$0.37"
"Shipwreck Looter","(xln)","$0.30"
"Shipwreck Moray","(aer)","$0.28"
"Shipwreck Singer","(ths)","$0.37"
"Shirei, Shizo's Caretaker","(uma)","$0.74"
"Shisato, Whispering Hunter","(chk)","$0.84"
"Shivan Dragon","(w16)","$0.49"
"Shivan Emissary","(inv)","$0.37"
"Shivan Hellkite","(ddg)","$0.52"
"Shivan Phoenix","(ulg)","$0.73"
"Shivan Raptor","(usg)","$0.39"
"Shivan Sand-Mage","(fut)","$0.59"
"Shivan Wumpus","(plc)","$0.87"
"Shivan Wurm","(pls)","$1.47"
"Shivan Zombie","(inv)","$0.36"
"Shizuko, Caller of Autumn","(bok)","$7.94"
"Shoal Kraken","(thb)","$0.37"
"Shoal Serpent","(zen)","$0.31"
"Shock Troops","(8ed)","$0.30"
"Shocker","(tmp)","$1.73"
"Shockmaw Dragon","(frf)","$0.39"
"Shore Keeper","(xln)","$0.30"
"Shore Snapper","(ala)","$0.31"
"Shorecrasher Elemental","(dtk)","$0.99"
"Shorecrasher Mimic","(eve)","$0.33"
"Shoreline Raider","(inv)","$0.36"
"Shoreline Ranger","(scg)","$0.36"
"Shoreline Salvager","(wwk)","$0.37"
"Shortcut Seeker","(afr)","$0.22"
"Shrewd Hatchling","(mm2)","$0.37"
"Shriek Raptor","(nph)","$0.33"
"Shriekdiver","(war)","$0.28"
"Shriekgeist","(dka)","$0.28"
"Shrieking Drake","(vis)","$1.76"
"Shrieking Grotesque","(gpt)","$0.34"
"Shrieking Mogg","(nem)","$0.74"
"Shrieking Specter","(s99)","$1.45"
"Shriekmaw","(lrw)","$0.98"
"Shrike Harpy","(bng)","$0.37"
"Shrouded Serpent","(pcy)","$0.65"
"Shu Cavalry","(ptk)","$7.04"
"Shu Yun, the Silent Tempest","(frf)","$0.70"
"Shyft","(ice)","$0.73"
"Siani, Eye of the Storm","(cmr)","$0.37"
"Sibilant Spirit","(ice)","$0.70"
"Sibsig Host","(frf)","$0.31"
"Sibsig Icebreakers","(dtk)","$0.30"
"Sibsig Muckdraggers","(frf)","$0.37"
"Sickle Dancer","(bbd)","$0.34"
"Sickle Ripper","(shm)","$0.36"
"Sidar Kondo of Jamuraa","(c16)","$6.18"
"Sidewinder Naga","(hou)","$0.28"
"Sidewinder Sliver","(tsp)","$0.96"
"Sidisi's Faithful","(dtk)","$0.37"
"Sidisi's Pet","(ktk)","$0.31"
"Sidisi, Brood Tyrant","(ktk)","$2.55"
"Sidisi, Undead Vizier","(plist)","$18.36"
"Siege Behemoth","(cma)","$3.70"
"Siege Dragon","(m15)","$0.82"
"Siege Mastodon","(m14)","$0.33"
"Siege Rhino","(ktk)","$1.38"
"Siege Striker","(m21)","$0.37"
"Siege Wurm","(grn)","$0.22"
"Siege-Gang Commander","(m10)","$1.84"
"Siegebreaker Giant","(m19)","$0.37"
"Siegehorn Ceratops","(rix)","$1.17"
"Sifter Wurm","(hou)","$0.37"
"Sifter of Skulls","(ogw)","$1.84"
"Sigarda, Heron's Grace","(soi)","$1.50"
"Sigarda, Host of Herons","(uma)","$24.13"
"Sigardian Paladin","(vow)","$0.37"
"Sigardian Priest","(emn)","$0.30"
"Sighted-Caste Sorcerer","(ala)","$0.31"
"Sightless Brawler","(jou)","$0.37"
"Sightless Ghoul","(dka)","$0.31"
"Sigil Captain","(arb)","$0.58"
"Sigiled Behemoth","(arb)","$0.36"
"Sigiled Contender","(m21)","$0.52"
"Sigiled Paladin","(ala)","$0.67"
"Sigiled Skink","(jou)","$0.30"
"Sigiled Starfish","(ori)","$0.37"
"Signal Pest","(mbs)","$1.14"
"Signpost Scarecrow","(jmp)","$0.31"
"Sigrid, God-Favored","(khm)","$0.59"
"Silas Renn, Seeker Adept","(c16)","$7.41"
"Silburlind Snapper","(soi)","$0.30"
"Silent Arbiter","(cns)","$4.03"
"Silent Artisan","(ths)","$0.30"
"Silent Assassin","(mmq)","$0.67"
"Silent Attendant","(usg)","$0.34"
"Silent Observer","(soi)","$0.31"
"Silent Sentinel","(bng)","$0.50"
"Silent Skimmer","(bfz)","$0.33"
"Silent Specter","(pons)","$2.71"
"Silent-Chant Zubera","(chk)","$0.36"
"Silhana Ledgewalker","(pc2)","$1.08"
"Silhana Starfletcher","(gpt)","$0.34"
"Silhana Wayfinder","(rna)","$0.37"
"Silkbind Faerie","(shm)","$0.37"
"Silkenfist Fighter","(nem)","$0.33"
"Silkenfist Order","(nem)","$0.37"
"Silklash Spider","(m13)","$0.73"
"Silkweaver Elite","(aer)","$0.25"
"Silkwing Scout","(dis)","$0.34"
"Silt Crawler","(pcy)","$0.31"
"Silumgar Assassin","(dtk)","$0.55"
"Silumgar Butcher","(dtk)","$0.30"
"Silumgar Scavenger","(mh1)","$0.33"
"Silumgar Sorcerer","(dtk)","$0.37"
"Silumgar Spell-Eater","(dtk)","$0.39"
"Silumgar, the Drifting Death","(frf)","$0.83"
"Silvar, Devourer of the Free","(c20)","$1.47"
"Silver Drake","(pls)","$0.37"
"Silver Erne","(ice)","$0.43"
"Silver Knight","(scg)","$0.43"
"Silver Myr","(som)","$0.53"
"Silver Raven","(afr)","$0.28"
"Silver Seraph","(jud)","$0.99"
"Silver Wyvern","(sth)","$4.96"
"Silverback Ape","(8ed)","$0.74"
"Silverback Shaman","(m20)","$0.28"
"Silverbeak Griffin","(m19)","$0.40"
"Silverblade Paladin","(avr)","$1.11"
"Silverchase Fox","(cns)","$0.33"
"Silverclaw Griffin","(dka)","$0.30"
"Silvercoat Lion","(m10)","$0.34"
"Silverfur Partisan","(soi)","$3.70"
"Silvergill Adept","(rix)","$0.53"
"Silvergill Douser","(lrw)","$0.37"
"Silverglade Elemental","(mmq)","$0.37"
"Lambholt Elder // Silverpelt Werewolf","(dka)","$0.59"
"Silverquill Apprentice","(stx)","$0.34"
"Silverquill Pledgemage","(stx)","$0.22"
"Silverquill Silencer","(stx)","$0.67"
"Silversmote Ghoul","(m21)","$0.59"
"Silverstorm Samurai","(bok)","$0.37"
"Silverwing Squadron","(eld)","$1.01"
"Silvos, Rogue Elemental","(ema)","$0.80"
"Simian Brawler","(csp)","$0.36"
"Simian Grunts","(ulg)","$0.36"
"Simian Spirit Guide","(plist)","$0.82"
"Simic Basilisk","(dis)","$0.37"
"Simic Fluxmage","(gtc)","$0.37"
"Simic Guildmage","(dis)","$0.70"
"Simic Initiate","(dis)","$0.34"
"Simic Manipulator","(gtc)","$0.74"
"Simic Ragworm","(dis)","$0.34"
"Simic Sky Swallower","(ima)","$0.52"
"Sin Collector","(mm3)","$0.37"
"Sin Prodder","(jmp)","$0.73"
"Sindbad","(4ed)","$0.39"
"Sinew Sliver","(fmb1)","$1.47"
"Singe-Mind Ogre","(arb)","$0.34"
"Sinister Starfish","(mh2)","$0.22"
"Sinuous Striker","(hou)","$0.37"
"Sinuous Vermin","(cn2)","$0.44"
"Siona, Captain of the Pyleas","(thb)","$0.37"
"Sire of Insanity","(dgm)","$2.05"
"Sire of the Storm","(chk)","$0.44"
"Siren Lookout","(xln)","$0.31"
"Siren Reaver","(rix)","$0.37"
"Siren Stormtamer","(xln)","$0.87"
"Siren of the Fanged Coast","(bng)","$0.37"
"Siren of the Silent Song","(bng)","$0.46"
"Sisters of Stone Death","(rav)","$1.60"
"Sisters of the Flame","(4ed)","$0.33"
"Sivitri Scarzam","(chr)","$0.37"
"Skaab Goliath","(ori)","$0.37"
"Skaab Ruinator","(isd)","$1.85"
"Skaab Wrangler","(mid)","$0.30"
"Skarrg Goliath","(pgtc)","$0.52"
"Skarrg Guildmage","(gtc)","$0.36"
"Skarrgan Firebird","(gk2)","$0.44"
"Skarrgan Pit-Skulk","(gpt)","$0.37"
"Skarrgan Skybreaker","(gpt)","$0.37"
"Skatewing Spy","(rna)","$0.37"
"Skeletal Changeling","(lrw)","$0.70"
"Skeletal Crocodile","(por)","$0.37"
"Skeletal Kathari","(ala)","$0.33"
"Skeletal Snake","(por)","$0.37"
"Skeletal Snake","(por)","$0.37"
"Skeletal Vampire","(ddd)","$0.68"
"Skeletal Wurm","(roe)","$0.39"
"Skeleton Archer","(m19)","$0.30"
"Skeleton Scavengers","(sth)","$0.73"
"Skeleton Ship","(ice)","$9.99"
"Skemfar Avenger","(khm)","$0.67"
"Skemfar Shadowsage","(khm)","$0.37"
"Skill Borrower","(ala)","$0.73"
"Skilled Animator","(m19)","$0.37"
"Skinbrand Goblin","(gtc)","$0.30"
"Skinrender","(som)","$0.44"
"Skinshifter","(m12)","$0.74"
"Skinthinner","(lgn)","$0.36"
"Skirge Familiar","(mh2)","$0.37"
"Skirk Alarmist","(lgn)","$0.59"
"Skirk Commando","(ons)","$0.31"
"Skirk Drill Sergeant","(lgn)","$0.41"
"Skirk Fire Marshal","(dd1)","$4.64"
"Skirk Marauder","(lgn)","$0.36"
"Skirk Outrider","(lgn)","$0.33"
"Skirk Prospector","(dom)","$0.49"
"Skirk Ridge Exhumer","(fut)","$0.50"
"Skirk Shaman","(plc)","$0.36"
"Skirk Volcanist","(scg)","$0.37"
"Skirsdag Cultist","(ddk)","$0.37"
"Skirsdag Flayer","(dka)","$0.36"
"Skirsdag High Priest","(isd)","$0.74"
"Skirsdag Supplicant","(emn)","$0.30"
"Skithiryx, the Blight Dragon","(som)","$23.92"
"Skitter Eel","(rna)","$0.28"
"Skitter of Lizards","(wwk)","$0.34"
"Skittering Crustacean","(cn2)","$0.37"
"Skittering Heartstopper","(xln)","$0.30"
"Skittering Horror","(uds)","$0.37"
"Skittering Monstrosity","(tsp)","$0.37"
"Skittering Skirge","(usg)","$0.37"
"Skittering Surveyor","(dom)","$0.31"
"Skitterskin","(bfz)","$0.37"
"Skittish Kavu","(inv)","$0.37"
"Skittish Valesk","(ons)","$0.37"
"Skizzik","(dom)","$0.37"
"Skizzik Surger","(fut)","$0.37"
"Skola Grovedancer","(thb)","$0.28"
"Skophos Maze-Warden","(thb)","$0.37"
"Skophos Reaver","(mh2)","$0.27"
"Skophos Warleader","(thb)","$0.27"
"Skulking Fugitive","(mmq)","$0.33"
"Skulking Ghost","(ema)","$0.34"
"Skulking Knight","(tsp)","$0.36"
"Skull Collector","(sok)","$0.44"
"Skull Prophet","(iko)","$0.71"
"Skull Skaab","(vow)","$0.37"
"Skullbriar, the Walking Grave","(cm2)","$10.77"
"Skullknocker Ogre","(eld)","$0.36"
"Skullmane Baku","(bok)","$0.34"
"Skullmulcher","(ala)","$0.73"
"Skullport Merchant","(afr)","$0.56"
"Skullsnatcher","(bok)","$0.74"
"Skullwinder","(cma)","$1.48"
"Sky Hussar","(dis)","$0.52"
"Sky Ruin Drake","(zen)","$0.30"
"Sky Scourer","(ogw)","$0.30"
"Sky Spirit","(ddi)","$0.37"
"Sky Swallower","(gpt)","$0.65"
"Sky Terror","(xln)","$0.44"
"Sky Theater Strix","(war)","$0.28"
"Sky Weaver","(inv)","$0.37"
"Sky-Eel School","(som)","$0.31"
"Skyblade of the Legion","(xln)","$0.28"
"Skycat Sovereign","(iko)","$0.74"
"Skyclave Cleric // Skyclave Basilica","(znr)","$0.37"
"Skyclave Geopede","(znr)","$0.33"
"Skyclave Sentinel","(znr)","$0.27"
"Skyclave Shade","(znr)","$0.73"
"Skyclave Shadowcat","(znr)","$0.37"
"Skyclave Squid","(znr)","$0.22"
"Skyclaw Thrash","(arb)","$0.43"
"Skyfire Phoenix","(c19)","$0.55"
"Skyhunter Cub","(mrd)","$0.34"
"Skyhunter Patrol","(ddg)","$0.36"
"Skyhunter Prowler","(5dn)","$0.33"
"Skyhunter Skirmisher","(mm2)","$0.37"
"Skyknight Legionnaire","(grn)","$0.25"
"Skyknight Vanguard","(m20)","$0.37"
"Skylasher","(dgm)","$0.71"
"Skyline Despot","(cn2)","$4.71"
"Skyline Predator","(rtr)","$0.36"
"Skyline Scout","(grn)","$0.22"
"Skymarch Bloodletter","(xln)","$0.30"
"Skymarcher Aspirant","(rix)","$0.44"
"Skymark Roc","(rtr)","$0.37"
"Skyraker Giant","(ori)","$0.36"
"Skyreach Manta","(mma)","$0.37"
"Skyrider Elf","(bfz)","$0.37"
"Skyrider Patrol","(m19)","$0.37"
"Skyrider Trainee","(gpt)","$0.31"
"Skyscanner","(m21)","$0.34"
"Skyship Plunderer","(aer)","$0.37"
"Skyship Stalker","(kld)","$0.59"
"Skyshooter","(ody)","$0.37"
"Skyshroud Archer","(sth)","$0.33"
"Skyshroud Behemoth","(plist)","$0.58"
"Skyshroud Condor","(tmp)","$0.37"
"Skyshroud Cutter","(nem)","$0.34"
"Skyshroud Elf","(tmp)","$0.37"
"Skyshroud Elite","(exo)","$0.50"
"Skyshroud Falcon","(sth)","$0.36"
"Skyshroud Ranger","(10e)","$1.20"
"Skyshroud Ridgeback","(nem)","$0.33"
"Skyshroud Sentinel","(nem)","$0.34"
"Skyshroud Troll","(tmp)","$0.30"
"Skyshroud Troopers","(sth)","$0.34"
"Skyshroud Vampire","(tmp)","$0.37"
"Skysnare Spider","(ori)","$0.39"
"Skyspear Cavalry","(uma)","$0.31"
"Skystreamer","(bbd)","$0.34"
"Skyswirl Harrier","(kld)","$0.27"
"Skyward Eye Prophets","(cma)","$0.39"
"Skywarp Skaab","(vow)","$0.22"
"Skywatcher Adept","(roe)","$0.36"
"Skyway Sniper","(m21)","$0.37"
"Skywinder Drake","(m12)","$0.28"
"Skywing Aven","(uma)","$0.33"
"Slag Strider","(mh2)","$0.31"
"Slash Panther","(nph)","$0.31"
"Slate Street Ruffian","(gtc)","$0.30"
"Slaughter Drone","(ogw)","$0.28"
"Slaughter-Priest of Mogis","(thb)","$0.37"
"Slaughterhorn","(gtc)","$0.28"
"Slaughterhouse Bouncer","(dis)","$0.34"
"Slavering Nulls","(ddh)","$0.37"
"Slayer of the Wicked","(ddq)","$0.36"
"Slimefoot, the Stowaway","(dom)","$0.49"
"Slimy Kavu","(inv)","$0.37"
"Sling-Gang Lieutenant","(mh1)","$0.56"
"Slingshot Goblin","(pls)","$0.36"
"Slinking Giant","(shm)","$0.37"
"Slinking Serpent","(inv)","$0.37"
"Slinking Skirge","(uds)","$0.36"
"Slinn Voda, the Rising Deep","(dom)","$0.41"
"Slippery Bogbonder","(c20)","$3.11"
"Slippery Bogle","(uma)","$2.28"
"Slippery Scoundrel","(rix)","$0.43"
"Slipstream Eel","(ons)","$0.31"
"Slipstream Serpent","(tsp)","$0.36"
"Sliptide Serpent","(nem)","$0.62"
"Slith Ascendant","(cmr)","$0.30"
"Slith Ascendant","(mrd)","$0.37"
"Slith Bloodletter","(mrd)","$0.37"
"Slith Firewalker","(mrd)","$0.37"
"Slith Predator","(mrd)","$0.37"
"Slith Strider","(ddi)","$0.37"
"Slither Blade","(akh)","$0.44"
"Slitherhead","(rtr)","$0.37"
"Slithering Shade","(dis)","$0.37"
"Slitherwisp","(iko)","$0.67"
"Slithery Stalker","(tor)","$0.37"
"Sliver Construct","(m14)","$0.40"
"Sliver Hivelord","(m15)","$25.34"
"Sliver Legion","(fut)","$47.41"
"Sliver Overlord","(scg)","$62.11"
"Sliver Queen","(sth)","$555.75"
"Sliversmith","(tsr)","$0.37"
"Sliversmith","(tsr)","$0.37"
"Slobad, Goblin Tinkerer","(c16)","$1.67"
"Sludge Crawler","(bfz)","$0.33"
"Sludge Strider","(con)","$0.37"
"Sluiceway Scorpion","(rtr)","$0.30"
"Slum Reaper","(uma)","$0.36"
"Slumbering Dragon","(m13)","$4.12"
"Slurrk, All-Ingesting","(cmr)","$0.37"
"Sly Instigator","(c21)","$0.59"
"Sly Requisitioner","(aer)","$0.37"
"Smelt-Ward Gatekeepers","(dgm)","$0.28"
"Smelt-Ward Ignus","(rna)","$0.37"
"Smelt-Ward Minotaur","(grn)","$0.37"
"Smog Elemental","(gtc)","$0.34"
"Smogsteed Rider","(gpt)","$0.37"
"Smoke Teller","(ktk)","$0.30"
"Smokebraider","(lrw)","$0.37"
"Smokespew Invoker","(lgn)","$0.33"
"Smolder Initiate","(shm)","$0.36"
"Smoldering Butcher","(eve)","$0.36"
"Smoldering Efreet","(frf)","$0.31"
"Smoldering Werewolf // Erupting Dreadwolf","(emn)","$0.43"
"Smothering Abomination","(bfz)","$1.13"
"Smuggler Captain","(cn2)","$0.37"
"Snake of the Golden Grove","(bng)","$0.30"
"Snapcaster Mage","(isd)","$74.09"
"Snapdax, Apex of the Hunt","(iko)","$2.21"
"Snapping Creeper","(wwk)","$0.33"
"Snapping Drake","(10e)","$0.44"
"Snapping Gnarlid","(bfz)","$0.30"
"Snapping Sailback","(xln)","$0.47"
"Snapping Thragg","(ons)","$0.37"
"Snapsail Glider","(som)","$0.30"
"Snare Tactician","(iko)","$0.27"
"Snare Thopter","(kld)","$0.36"
"Snarespinner","(war)","$0.28"
"Snarling Undorak","(ons)","$0.31"
"Snarling Wolf","(mid)","$0.25"
"Sneaking Guide","(znr)","$0.22"
"Sneaky Homunculus","(8ed)","$0.30"
"Snorting Gahr","(mmq)","$0.36"
"Snow Fortress","(ice)","$0.80"
"Snow Hound","(ice)","$0.44"
"Snowhorn Rider","(ktk)","$0.33"
"Snubhorn Sentry","(rix)","$0.31"
"Soaring Show-Off","(bbd)","$0.37"
"Soaring Thought-Thief","(znr)","$0.37"
"Soilshaper","(chk)","$0.37"
"Sojourner's Companion","(mh2)","$0.37"
"Sokenzan Bruiser","(chk)","$0.30"
"Sokenzan Renegade","(sok)","$0.37"
"Sokenzan Spellblade","(sok)","$0.36"
"Sol'kanar the Swamp King","(chr)","$0.73"
"Solarion","(5dn)","$0.89"
"Soldevi Adnate","(all)","$1.27"
"Soldevi Golem","(ice)","$14.18"
"Soldevi Heretic","(all)","$0.33"
"Soldevi Machinist","(ice)","$0.41"
"Soldevi Sage","(all)","$0.34"
"Soldevi Sentry","(all)","$0.37"
"Soldevi Simulacrum","(ice)","$0.37"
"Soldevi Steam Beast","(all)","$0.34"
"Soldier Replica","(mrd)","$0.33"
"Soldier of Fortune","(all)","$0.44"
"Soldier of the Pantheon","(ths)","$0.65"
"Solemn Recruit","(aer)","$0.49"
"Solemn Simulacrum","(c16)","$2.96"
"Solitary Camel","(hou)","$0.28"
"Soliton","(som)","$0.31"
"Solitude","(mh2)","$74.10"
"Soltari Champion","(sth)","$2.24"
"Soltari Crusader","(tmp)","$0.43"
"Soltari Emissary","(tmp)","$0.74"
"Soltari Foot Soldier","(tmp)","$0.37"
"Soltari Guerrillas","(tmp)","$1.01"
"Soltari Lancer","(tmp)","$0.33"
"Soltari Monk","(plist)","$0.37"
"Soltari Priest","(tmp)","$0.55"
"Soltari Trooper","(tmp)","$0.36"
"Soltari Visionary","(exo)","$0.55"
"Somber Hoverguard","(mrd)","$0.34"
"Somberwald Alpha","(ori)","$0.44"
"Somberwald Dryad","(dka)","$0.28"
"Somberwald Spider","(isd)","$0.31"
"Somberwald Stag","(emn)","$0.37"
"Somberwald Vigilante","(avr)","$0.30"
"Somnomancer","(shm)","$0.31"
"Songstitcher","(brb)","$0.49"
"Sonorous Howlbonder","(iko)","$0.37"
"Soot Imp","(dvd)","$0.50"
"Sootfeather Flock","(lgn)","$0.33"
"Soothsayer Adept","(stx)","$0.24"
"Sootstoke Kindler","(shm)","$0.36"
"Sootwalkers","(shm)","$0.31"
"Sophic Centaur","(plc)","$0.37"
"Soramaro, First to Dream","(sok)","$0.74"
"Soratami Cloudskater","(chk)","$0.36"
"Soratami Mindsweeper","(psal)","$0.00"
"Soratami Mirror-Guard","(chk)","$0.36"
"Soratami Mirror-Mage","(chk)","$0.44"
"Soratami Rainshaper","(chk)","$0.37"
"Soratami Savant","(chk)","$0.65"
"Soratami Seer","(chk)","$0.37"
"Soraya the Falconer","(hml)","$4.95"
"Sorcerer of the Fang","(m20)","$0.28"
"Sorcerer's Broom","(eld)","$0.37"
"Sorceress Queen","(3ed)","$6.22"
"Sorin's Guide","(m20)","$0.73"
"Sosuke, Son of Seshiro","(fmb1)","$0.73"
"Soul Charmer","(pcy)","$0.31"
"Soul Collector","(scg)","$0.95"
"Soul Diviner","(war)","$0.64"
"Soul Scourge","(tor)","$0.36"
"Soul Seizer // Ghastly Haunting","(dka)","$0.37"
"Soul Shepherd","(wth)","$0.30"
"Soul Snuffers","(eve)","$2.95"
"Soul Swallower","(soi)","$0.52"
